question_id,split,question,answer,image,local_image,image_id,data_source,issimple
10156897,train,How many people are there?,2,train2014/COCO_train2014_000000030371.jpg,images/COCO_train2014_000000030371.jpg,30371,tdiuc_templates,
20037669,train,How many windows are visible?,1,train2014/COCO_train2014_000000424337.jpg,images/COCO_train2014_000000424337.jpg,424337,imported_vqa,
20080098,train,How many empty chairs are there?,0,val2014/COCO_val2014_000000567562.jpg,images/COCO_val2014_000000567562.jpg,567562,imported_vqa,
20089836,train,How many sheep are there?,1,val2014/COCO_val2014_000000243316.jpg,images/COCO_val2014_000000243316.jpg,243316,imported_vqa,
10487549,train,How many laptops are in the picture?,1,train2014/COCO_train2014_000000359931.jpg,images/COCO_train2014_000000359931.jpg,359931,tdiuc_templates,
20073396,train,How many urinals are there?,1,val2014/COCO_val2014_000000306159.jpg,images/COCO_val2014_000000306159.jpg,306159,imported_vqa,
20012014,train,How many slices of pizza are shown?,2,train2014/COCO_train2014_000000044830.jpg,images/COCO_train2014_000000044830.jpg,44830,imported_vqa,
10461755,train,How many people are visible?,6,train2014/COCO_train2014_000000354429.jpg,images/COCO_train2014_000000354429.jpg,354429,tdiuc_templates,
10237136,train,How many people are visible?,2,train2014/COCO_train2014_000000569996.jpg,images/COCO_train2014_000000569996.jpg,569996,tdiuc_templates,
30123037,train,How many people are pictured here?,0,VG_100K_2/2379072.jpg,images/2379072.jpg,92379072,imported_genome,
10317614,train,How many skateboards are in the photo?,1,train2014/COCO_train2014_000000061585.jpg,images/COCO_train2014_000000061585.jpg,61585,tdiuc_templates,
30165171,train,How many containers are visible on the boat?,2,VG_100K_2/2411896.jpg,images/2411896.jpg,92411896,imported_genome,
20018239,train,How many workers are visible?,3,train2014/COCO_train2014_000000104044.jpg,images/COCO_train2014_000000104044.jpg,104044,imported_vqa,
10518259,train,How many donuts can be seen?,1,train2014/COCO_train2014_000000553402.jpg,images/COCO_train2014_000000553402.jpg,553402,tdiuc_templates,
10617726,train,How many bottles are there?,2,train2014/COCO_train2014_000000387792.jpg,images/COCO_train2014_000000387792.jpg,387792,tdiuc_templates,
30100127,test,How many buses are pictured?,3,VG_100K_2/2408138.jpg,images/2408138.jpg,92408138,imported_genome,True
20064117,train,How many vegetables are shown?,1,train2014/COCO_train2014_000000232186.jpg,images/COCO_train2014_000000232186.jpg,232186,imported_vqa,
20001705,train,How many benches are pictured?,2,train2014/COCO_train2014_000000316178.jpg,images/COCO_train2014_000000316178.jpg,316178,imported_vqa,
10215513,train,How many dining tables can you see?,2,train2014/COCO_train2014_000000434773.jpg,images/COCO_train2014_000000434773.jpg,434773,tdiuc_templates,
